,name,CTne,IT,LE,CT,CTmvp,CTpan,CTpnz,BG
0,W10,52990,26236,58398,47204,13938,2403,945,33843
1,W11,85666,15498,16051,118408,115,2098,1740,41503
2,W12,47824,3492,0,226669,4900,1954,1796,46769
3,W13,42591,35000,49482,116504,1433,0,989,35176
4,W16,66635,9331,8023,69118,17,1158,912,21315
5,W18,0,22960,5775,24716,77,0,0,7530
6,W19,12014,1207,0,90722,707,6005,764,22575
7,W2,63668,69370,56402,49783,172,3047,1148,48390
8,W20,4048,64383,11775,90753,256,1194,79,12997
9,W21,48355,9864,3286,131850,1317,2627,1096,22943
10,W22,51271,42461,22108,146420,170,557,1062,27903
11,W26,16617,36266,0,102474,92,2320,672,27949
12,W27,17493,16628,590,102571,90,4307,1186,16136
13,W28,23505,49732,4967,45539,501,1405,296,13504
14,W29,54792,3412,0,69415,723,1940,1072,10896
15,W3,110991,0,0,88940,972,1785,1552,44279
16,W30,3436,9828,21277,162140,425,0,164,21499
17,W31,14555,44661,32950,49809,1210,0,1099,19572
18,W32,34781,200,463,67637,307,13085,1413,7363
19,W33,26276,29521,7401,82724,509,696,394,26705
20,W34,83498,4371,13804,30602,188,637,733,21724
21,W35,0,0,0,175021,0,0,0,8093
22,W36,94854,3002,30907,27284,360,945,470,23114
23,W38,26527,9667,25081,45533,6937,1156,864,14668
24,W4,19062,48876,30078,123804,127,0,142,28912
25,W40,80851,1523,1,48631,414,878,2070,23847
26,W42,7423,52033,2368,88139,2130,10,870,17588
27,W43,38451,18010,15603,58545,274,2190,1318,29847
28,W45,246,22428,2178,116933,9,333,111,26811
29,W48,69497,18405,444,53179,427,3452,395,24026
30,W5,77921,45048,86350,104493,513,4432,1080,33125
31,W6,26291,77335,36529,39284,2018,2046,482,27911
32,W7,52985,19814,0,70187,598,225,1205,28044
33,W8,46965,17656,14217,134333,15218,3399,2710,34323
34,W9,65764,6616,494,34782,4484,859,281,14700
