,CTpnz,CTne,LE,IT,BG,CT,CTmvp,CTpan
0,"W33-1-1-A.03_(12450,4650).jpg","W8-1-1-B.2.02_(3600,10350).jpg","W10-1-1-D.1.01_(13500,7500).jpg","W20-2-1-K.01_(11850,11850).jpg","W13-1-1-F.02_(3150,4350).jpg","W36-1-1-C.02_(5250,6900).jpg","W10-1-1-F.1.03_(4050,8250).jpg","W10-1-1-D.2.07_(7050,12750).jpg"
1,"W16-1-1-B.02_(2850,12000).jpg","W16-1-1-G.02_(14100,3600).jpg","W20-2-1-H.03_(3900,7500).jpg","W27-2-1-F.01_(8100,13200).jpg","W32-1-1-L.01_(6000,0).jpg","W18-1-1-A.01_(12750,5400).jpg","W10-1-1-F.1.04_(5700,3600).jpg","W21-1-1-D.02_(11250,7050).jpg"
2,"W12-1-1-H.1.02_(6000,13950).jpg","W38-1-1-H.02_(16650,11400).jpg","W22-2-1-B.01_(4200,7950).jpg","W27-2-1-F.01_(7950,11850).jpg","W8-1-1-H.1.01_(17700,14100).jpg","W26-1-1-F.04_(3750,10050).jpg","W20-2-1-K.01_(7350,2100).jpg","W21-1-1-O.01_(17550,14250).jpg"
3,"W12-1-1-D.2.04_(9000,6750).jpg","W8-1-1-B.1.01_(6450,4650).jpg","W13-1-1-C.01_(8250,8700).jpg","W38-1-1-A.02_(10200,300).jpg","W2-1-1-A.2.01_(1500,2100).jpg","W8-1-1-E.2.02_(3750,4350).jpg","W43-1-1-I.01_(8700,9300).jpg","W32-1-1-K.01_(4500,14700).jpg"
4,"W11-1-1-E.1.05_(2400,6300).jpg","W11-1-1-E.1.04_(13650,13950).jpg","W30-1-1-F.02_(10200,3600).jpg","W7-1-1-A.2.01_(900,12450).jpg","W22-1-1-H.04_(1500,300).jpg","W35-1-1-I.02_(4200,1800).jpg","W10-1-1-F.1.02_(10800,3450).jpg","W2-1-1-D.1.01_(9150,4200).jpg"
5,"W31-1-1-F.02_(12750,8100).jpg","W34-1-1-G.01_(7350,13200).jpg","W31-1-1-H.06_(13800,8700).jpg","W42-1-1-F.01_(12900,10350).jpg","W8-1-1-F.1.02_(11100,14550).jpg","W13-1-1-K.02_(6000,2550).jpg","W42-1-1-F.02_(600,3150).jpg","W27-2-1-D.04_(2250,13050).jpg"
6,"W27-2-1-D.02_(14550,3450).jpg","W40-1-1-D.01_(6600,4950).jpg","W43-1-1-C.01_(13800,2700).jpg","W26-1-1-C.01_(300,13500).jpg","W33-1-1-A.02_(12150,1950).jpg","W11-1-1-C.1.02_(11400,2100).jpg","W9-1-1-D.1.01_(900,10200).jpg","W29-1-1-F.01_(8700,9450).jpg"
7,"W12-1-1-I.2.02_(150,3750).jpg","W34-1-1-A.02_(9450,10800).jpg","W31-1-1-H.04_(17250,4500).jpg","W28-1-1-B.01_(14400,12450).jpg","W22-2-1-C.02_(3300,1350).jpg","W12-1-1-E.1.03_(11700,10950).jpg","W10-1-1-D.2.08_(16050,9600).jpg","W27-2-1-I.03_(3300,11250).jpg"
8,"W26-1-1-F.01_(3450,5100).jpg","W11-1-1-L.2.01_(14550,3000).jpg","W13-1-1-C.01_(7500,10800).jpg","W13-1-1-B.01_(16500,4500).jpg","W26-1-1-G.02_(4350,1050).jpg","W4-1-1-F.2.02_(7050,9000).jpg","W27-2-1-B.02_(13050,12000).jpg","W26-1-1-I.04_(12300,9150).jpg"
9,"W2-1-1-J.2.04_(12300,10050).jpg","W40-1-1-I.02_(2250,9450).jpg","W30-1-1-F.03_(14250,9150).jpg","W2-1-1-M.2.01_(16200,900).jpg","W13-1-1-A.03_(4950,300).jpg","W13-1-1-F.02_(13800,2700).jpg","W8-1-1-C.1.02_(12600,11400).jpg","W21-1-1-M.01_(6750,9900).jpg"
10,"W29-1-1-C.01_(1650,5400).jpg","W34-1-1-D.01_(5700,2700).jpg","W13-1-1-B.04_(7650,3600).jpg","W13-1-1-G.02_(13800,11850).jpg","W19-1-1-C.02_(16200,750).jpg","W12-1-1-A.2.02_(17550,8550).jpg","W8-1-1-C.1.03_(14100,12000).jpg","W29-1-1-C.02_(15750,3150).jpg"
11,"W11-1-1-G.1.01_(17250,13500).jpg","W7-1-1-B.2.02_(14550,9300).jpg","W30-1-1-F.02_(15750,14550).jpg","W43-1-1-D.02_(10350,6300).jpg","W11-1-1-E.1.01_(6600,0).jpg","W33-1-1-L.03_(15450,12750).jpg","W38-1-1-G.02_(14100,750).jpg","W28-1-1-J.01_(17250,13050).jpg"
12,"W40-1-1-I.04_(1950,6000).jpg","W9-1-1-G.2_(600,5250).jpg","W10-1-1-C.2.02_(2850,7950).jpg","W20-2-1-H.02_(5100,8700).jpg","W10-1-1-E.2.02_(1950,9450).jpg","W20-2-1-Y.01_(15750,11250).jpg","W10-1-1-F.1.02_(6450,1950).jpg","W27-2-1-F.02_(17700,12900).jpg"
13,"W8-1-1-B.1.06_(9600,11100).jpg","W22-1-1-D.02_(12300,4350).jpg","W21-1-1-E.03_(8700,9000).jpg","W8-1-1-D.1.01_(13050,10800).jpg","W40-1-1-F.02_(12450,9450).jpg","W11-1-1-E.1.02_(13500,600).jpg","W10-1-1-F.1.02_(1050,6000).jpg","W19-1-1-B.03_(11550,7950).jpg"
14,"W21-1-1-B.06_(6300,450).jpg","W36-1-1-G.02_(14850,2250).jpg","W20-2-1-L.03_(12750,11700).jpg","W2-1-1-F.1.01_(7350,2400).jpg","W38-1-1-I.04_(13050,13500).jpg","W22-1-1-F.02_(15900,13650).jpg","W10-1-1-F.1.04_(4800,5100).jpg","W32-1-1-G.02_(9750,4200).jpg"
15,"W12-1-1-D.2.02_(10650,150).jpg","W12-1-1-H.1.01_(10350,8400).jpg","W36-1-1-D.02_(5550,13650).jpg","W13-1-1-C.01_(14700,3900).jpg","W33-1-1-F.01_(7500,5100).jpg","W20-2-1-I.02_(13350,11550).jpg","W8-1-1-C.1.03_(13350,7800).jpg","W43-1-1-I.02_(7500,12900).jpg"
16,"W19-1-1-D.05_(300,6300).jpg","W11-1-1-E.1.05_(11700,10050).jpg","W2-1-1-G.2.02_(4050,8400).jpg","W26-1-1-A.02_(8250,5550).jpg","W21-1-1-D.02_(3150,0).jpg","W11-1-1-E.1.05_(9750,7650).jpg","W42-1-1-F.02_(10200,600).jpg","W12-1-1-D.2.04_(4050,10800).jpg"
17,"W22-1-1-B.01_(1200,12900).jpg","W9-1-1-B.2.02_(6000,10800).jpg","W2-1-1-A.2.02_(1350,9150).jpg","W2-1-1-F.1.01_(17250,9300).jpg","W43-1-1-C.01_(17250,300).jpg","W8-1-1-C.1.05_(900,2700).jpg","W21-1-1-O.02_(6150,3450).jpg","W21-1-1-L.02_(150,12600).jpg"
18,"W21-1-1-B.04_(15900,2700).jpg","W40-1-1-F.02_(16500,11100).jpg","W18-1-1-C.01_(2250,13500).jpg","W26-1-1-A.02_(3900,900).jpg","W4-1-1-A.2.01_(9150,14250).jpg","W4-1-1-B.2.02_(3150,10200).jpg","W10-1-1-D.2.04_(11100,4200).jpg","W19-1-1-B.03_(6600,3600).jpg"
19,"W27-2-1-C.02_(16800,300).jpg","W34-1-1-D.01_(4500,1500).jpg","W2-1-1-B.2.02_(6150,2400).jpg","W2-1-1-E.2.02_(2100,6600).jpg","W33-1-1-F.01_(9450,6450).jpg","W11-1-1-L.2.01_(1800,1200).jpg","W9-1-1-C.2.04_(2250,4050).jpg","W2-1-1-D.1.01_(11850,9150).jpg"
20,"W8-1-1-F.2.02_(5400,2400).jpg","W11-1-1-E.2.02_(17700,750).jpg","W13-1-1-B.02_(10650,7200).jpg","W20-2-1-L.02_(16800,9750).jpg","W9-1-1-J.2.01_(15450,14100).jpg","W21-1-1-K.01_(13950,9150).jpg","W3-1-1-C.1.02_(16350,5250).jpg","W10-1-1-D.2.07_(15600,3000).jpg"
21,"W27-2-1-A.02_(10500,7050).jpg","W11-1-1-E.2.03_(4650,1350).jpg","W4-1-1-A.2.02_(8250,1950).jpg","W20-2-1-M.02_(14400,2850).jpg","W40-1-1-B.01_(16650,8250).jpg","W29-1-1-B.04_(15000,3600).jpg","W10-1-1-F.1.04_(8850,12900).jpg","W38-1-1-F.02_(3150,1650).jpg"
22,"W11-1-1-E.1.05_(3600,7200).jpg","W10-1-1-F.1.03_(300,14250).jpg","W10-1-1-D.2.06_(13950,14250).jpg","W26-1-1-F.01_(17400,6150).jpg","W3-1-1-B.2.01_(14250,2850).jpg","W33-1-1-A.01_(12900,14250).jpg","W8-1-1-C.1.02_(12000,2850).jpg","W43-1-1-J.02_(450,4200).jpg"
23,"W12-1-1-H.1.02_(12900,11850).jpg","W7-1-1-A.2.03_(17550,13800).jpg","W11-1-1-E.1.03_(13350,1650).jpg","W42-1-1-G.02_(4200,4500).jpg","W45-1-1-G.01_(15300,0).jpg","W28-1-1-D.02_(4950,4050).jpg","W31-1-1-H.01_(14250,8550).jpg","W19-1-1-A.05_(13200,6900).jpg"
